Provincia,Partido,Localidad,FIBRA OPTICA,Total accesos,% FIBRA OPTICA,Poblacion,Latitud,Longitud
BUENOS AIRES,Almirante Brown,Rafael Calzada,9816,20323,48.29995571519953,60422.0,-34.7911367513318,-58.350598184222
BUENOS AIRES,Almirante Brown,San Francisco Solano,3201,7429,43.08789877507067,30355.0,-34.7866743578473,-58.3219363521574
BUENOS AIRES,Almirante Brown,San Jose,227,9017,2.517467006764999,48151.0,-34.7673771924196,-58.3432771404358
BUENOS AIRES,Arrecifes,Arrecifes,4390,8357,52.53081249252124,26400.0,-34.064591121211,-60.1025564443537
BUENOS AIRES,Arrecifes,Todd,305,305,100.0,732.0,-34.0328240475348,-60.1562270065746
BUENOS AIRES,Arrecifes,Viña,0,110,0.0,464.0,-33.9922765156087,-60.2263211205477
BUENOS AIRES,Avellaneda,Avellaneda,5354,15961,33.54426414385064,25325.0,-34.6626508059016,-58.3656990232718
BUENOS AIRES,Avellaneda,Crucesita,2510,7510,33.422103861517975,22745.0,-34.66910587351,-58.3574544412345
BUENOS AIRES,Avellaneda,Dock Sud,2215,2905,76.24784853700515,37392.0,-34.6491266928534,-58.3411774769137
BUENOS AIRES,Avellaneda,Gerli,3852,10030,38.40478564307079,32384.0,-34.6847637540553,-58.3726025503412
BUENOS AIRES,Avellaneda,Pineyro,2052,8003,25.640384855679123,28102.0,-34.6685497926645,-58.3886029123689
