Provincia,Partido,Localidad,Link Indec,Otros,<= 1 Mbps,"> 1 Mbps, <= 5 Mbps","> 5 Mbps, <= 10 Mbps","> 10 Mbps, <= 15 Mbps","> 15 Mbps, <= 20 Mbps","> 20 Mbps, <= 25 Mbps","> 25 Mbps, <= 30 Mbps","> 30 Mbps, <= 50 Mbps",> 50 Mbps,Total,% <= 10Mbps,% <= 25Mbps,Poblacion,Latitud,Longitud
CHACO,Libertador General San Martín,Presidencia Roca,22084070,4.0,2.0,46.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,202.0,23.762376237623762,98.01980198019803,4201.0,-26.1402007626997,-59.5968452905131
CHACO,Maipú,Tres Isletas,22091010,10.0,2.0,34.0,479.0,69.0,0.0,0.0,0.0,0.0,0.0,594.0,86.7003367003367,98.31649831649831,16976.0,-26.3378349285309,-60.4299349548752
CHACO,Mayor Luis J. Fontana,Coronel Du Graty,22098010,547.0,74.0,3.0,292.0,0.0,66.0,0.0,0.0,0.0,0.0,982.0,37.57637474541752,44.29735234215886,7509.0,-27.682571155615,-60.9091956314644
CHACO,Mayor Luis J. Fontana,Enrique Urién,22098020,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,515.0,-27.5587251493486,-60.5259907543736
CHACO,Mayor Luis J. Fontana,Villa Angela,22098030,119.0,149.0,916.0,2803.0,89.0,103.0,21.0,29.0,7.0,0.0,4236.0,91.31255901794145,96.34088762983947,41403.0,-27.5788592432947,-60.7141120066309
CHACO,O Higgins,La Clotilde,22112010,217.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,13.200000000000001,13.200000000000001,3382.0,-27.1781993384686,-60.6315741848515
CHACO,O Higgins,La Tigra,22112020,252.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,254.0,0.39370078740157477,0.7874015748031495,2866.0,-27.1157899755692,-60.5898941741226
CHACO,O Higgins,San Bernardo,22112030,51.0,3.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,74.6268656716418,74.6268656716418,9379.0,-27.2904384132604,-60.7149736332961
CHACO,Presidencia de la Plaza,Presidencia de la Plaza,22119010,25.0,1.0,6.0,531.0,40.0,0.0,0.0,0.0,0.0,0.0,603.0,89.22056384742952,95.85406301824212,9642.0,-27.0029714359347,-59.847600385659
CHACO,Quitilipi,Quitilipi,22133010,37.0,4.0,135.0,949.0,45.0,27.0,0.0,1.0,0.0,0.0,1198.0,90.81803005008348,96.8280467445743,24517.0,-26.8732071732978,-60.2185241226399
CHACO,Quitilipi,Villa El Palmar,22133020,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,100.0,100.0,879.0,-26.4551186226266,-60.1646165913523
CHACO,San Fernando,Barranqueras,22140010,158.0,0.0,130.0,3.0,17.0,19.0,145.0,3.0,1930.0,1414.0,3819.0,3.482587064676617,8.222047656454569,54698.0,-27.4877739289761,-58.9327416886365
CHACO,San Fernando,Basail,22140020,1.0,1.0,5.0,202.0,4.0,11.0,0.0,1.0,0.0,0.0,225.0,92.44444444444444,99.11111111111111,1929.0,-27.8868655966917,-59.2791003619491
CHACO,San Fernando,Fontana,22140040,101.0,0.0,0.0,13.0,70.0,4.0,0.0,2.0,0.0,0.0,190.0,6.842105263157896,45.78947368421053,32027.0,-27.4167127425858,-59.04393778912
CHACO,San Fernando,Puerto Vilelas,22140050,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,8.333333333333332,8.333333333333332,8278.0,-27.5106090846354,-58.938994465923
CHACO,San Fernando,Resistencia,22140060,3199.0,589.0,1173.0,8934.0,880.0,12791.0,935.0,8594.0,32085.0,19239.0,88419.0,12.09694748866194,28.61602144335493,290723.0,-27.4521194584549,-58.9876174408016
CHACO,San Lorenzo,Samuhú,22147010,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.090909090909092,9.090909090909092,1251.0,-27.5222254234698,-60.3941746057505
CHACO,San Lorenzo,Villa Berthet,22147020,24.0,1.0,0.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,96.73024523160763,96.73024523160763,10224.0,-27.2895492409257,-60.4155962080604
CHACO,Sargento Cabral,Capitán Solari,22154010,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,1888.0,-26.8050732181615,-59.5596523744138
CHACO,Sargento Cabral,Colonia Elisa,22154020,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,100.0,3471.0,-26.9324550960675,-59.5204851339373
